title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
Thunderbirds,Action,14.363421,57,28,-29,7/23/2004,95,4.2,92,
Cirque du Freak: The Vampire's Assistant,Adventure,10.829432,40,28,-12,10/23/2009,109,5.5,354,
The Deep End of the Ocean,Drama,5.78468,38,28,-10,3/12/1999,106,6,58,
The Thing,Horror,10.169411,35,28,-7,10/12/2011,103,6,876,The Thing Collection
The Master,Drama,8.074218,32,28,-4,9/7/2012,137,7,720,
The Road,Adventure,14.958098,32,28,-4,11/25/2009,111,6.8,1113,
Tristan & Isolde,Drama,15.672195,31,28,-3,4/7/2006,125,6.4,240,
Goal!: The Dream Begins,Drama,9.783762,30,28,-2,6/6/2005,118,6.6,244,Goal! Collection
The Quiet American,Drama,8.230447,30,28,-2,11/22/2002,101,6.5,82,
The Shawshank Redemption,Drama,51.645403,25,28,3,9/23/1994,142,8.5,8358,
Ice Princess,Drama,9.313354,25,28,3,3/17/2005,98,5.9,189,
Dirty Dancing: Havana Nights,Drama,4.475359,25,28,3,2/27/2004,86,6,154,Dirty Dancing Collection
Carnage,Comedy,8.844835,25,28,3,9/16/2011,80,7,760,
The Tailor of Panama,Drama,6.226933,21,28,7,2/11/2001,109,6.2,97,
Death Note,Fantasy,9.570657,20,28,8,6/17/2006,126,6.8,163,Death Note Collection
Love & Basketball,Action,5.733227,20,28,8,4/21/2000,124,7.5,93,
Lakeview Terrace,Drama,13.857624,20,28,8,9/19/2008,110,5.9,294,
Poetic Justice,Drama,6.972599,14,28,14,7/23/1993,109,6.9,47,
Dick,Comedy,3.960622,13,28,15,8/4/1999,94,5.7,67,
Go,Crime,8.344282,7,28,21,4/9/1999,98,7,198,
Mankatha,Action,1.145752,6,28,22,8/31/2011,149,5.6,14,
Ernest Saves Christmas,Comedy,3.590547,6,28,22,11/11/1988,95,4.9,47,Ernest Collection
"20,000 Leagues Under the Sea",Adventure,8.722406,5,28,23,12/23/1954,127,6.9,160,
A Man for All Seasons,Drama,6.997888,4,28,24,12/12/1966,120,7.5,90,
East Is East,Comedy,5.138367,4,28,24,5/14/1999,97,6.5,60,East is East Collection
Menace II Society,Drama,5.260924,4,28,24,5/26/1993,97,7.2,179,
Friday,Comedy,14.56965,4,28,24,4/26/1995,91,7,513,Friday Collection
Taare Zameen Par,Drama,6.093304,3,28,25,12/21/2007,165,7.7,194,
Vertigo,Mystery,18.20822,2,28,26,5/9/1958,128,8,1162,
Popular Music,Comedy,0.988777,2,28,26,9/24/2004,100,6,17,
Taxi Driver,Crime,14.092713,1,28,27,2/7/1976,114,8.1,2632,
Wolf Creek,Horror,7.483385,1,28,27,1/1/2005,99,6.1,288,Wolf Creek Collection
Event Horizon,Horror,11.335072,60,27,-33,8/15/1997,96,6.4,752,
A Cure for Wellness,Mystery,13.28436,40,27,-13,2/15/2017,146,6,939,
The Musketeer,Action,4.260945,40,27,-13,9/7/2001,104,5.2,56,
Shoot 'Em Up,Action,7.259086,39,27,-12,7/26/2007,86,6.3,589,
Mandela: Long Walk to Freedom,Drama,11.318079,35,27,-8,12/6/2013,141,6.5,225,
