title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
The Patriot,Drama,15.960788,110,215,105,6/28/2000,165,6.8,1130,
Just Go with It,Romance,9.267959,80,215,135,2/10/2011,117,6.3,1588,
8 Mile,Drama,8.374355,41,215,174,11/8/2002,110,6.8,1676,
Ghostbusters II,Comedy,16.414239,37,215,178,6/15/1989,108,6.3,1131,Ghostbusters Collection
Public Enemies,History,10.364794,80,214,134,7/1/2009,140,6.5,1371,
The Bourne Identity,Action,21.040126,60,214,154,6/14/2002,119,7.3,3640,The Bourne Collection
Disclosure,Drama,11.812244,55,214,159,12/9/1994,123,5.9,217,
"Crouching Tiger, Hidden Dragon",Adventure,19.944953,17,214,197,10/1/2000,120,7.2,949,"Crouching Tiger, Hidden Dragon Collection"
Pulp Fiction,Thriller,140.950236,8,214,206,9/10/1994,154,8.3,8670,
Dirty Dancing,Drama,14.044122,6,214,208,8/21/1987,100,7.1,1371,Dirty Dancing Collection
Bedtime Stories,Fantasy,10.739419,80,213,133,12/24/2008,99,5.9,924,
Into the Woods,Fantasy,9.580785,50,213,163,12/25/2014,125,5.6,1688,
Master and Commander: The Far Side of the World,Adventure,8.693298,150,212,62,11/14/2003,138,6.9,808,
Kingdom of Heaven,Drama,16.296471,130,212,82,5/3/2005,144,6.6,1187,
End of Days,Action,9.62371,100,212,112,11/24/1999,121,5.5,488,
Fury,War,36.713807,68,212,144,10/15/2014,135,7.4,4028,
Entrapment,Romance,10.62333,66,212,146,4/29/1999,112,6,613,
Due Date,Comedy,11.73956,65,212,147,11/4/2010,95,6.2,1737,
Miss Congeniality,Comedy,9.510762,45,212,167,12/14/2000,111,6.1,987,Miss Congeniality Collection
Bridget Jones's Baby,Comedy,10.754139,35,212,177,9/14/2016,123,6.3,972,Bridget Jones Collection
Ace Ventura: When Nature Calls,Crime,8.205448,30,212,182,11/10/1995,90,6.1,1128,Ace Ventura Collection
District 9,Science Fiction,11.589835,30,211,181,8/5/2009,112,7.3,3451,
Braveheart,Action,20.755149,72,210,138,5/24/1995,177,7.7,3404,
Moonraker,Action,10.576273,34,210,176,6/26/1979,126,5.9,551,James Bond Collection
Tomorrowland,Adventure,22.296076,190,209,19,5/19/2015,130,6.2,2904,
Lemony Snicket's A Series of Unfortunate Events,Adventure,12.817945,140,209,69,12/16/2004,108,6.7,1521,
Red Dragon,Crime,2.968157,78,209,131,9/29/2002,124,6.7,1142,The Hannibal Lecter Anthology
Safe House,Action,8.338675,85,208,123,2/9/2012,115,6.3,1361,
Traffic,Thriller,8.338222,48,208,160,12/27/2000,147,6.9,573,
Me Before You,Drama,34.34759,20,208,188,6/2/2016,110,7.6,2674,
Lost in Thailand,Comedy,1.789133,2,208,206,12/12/2012,105,6.1,28,
The Fast and the Furious,Action,1.406181,38,207,169,6/22/2001,106,6.6,3485,The Fast and the Furious Collection
Philadelphia,Drama,13.373006,26,207,181,12/22/1993,125,7.6,1019,
Sleepy Hollow,Drama,11.072361,100,206,106,11/18/1999,105,6.9,1774,
The Expendables 3,Action,14.753545,90,206,116,8/4/2014,127,6.1,1830,The Expendables Collection
London Has Fallen,Action,15.037993,60,206,146,3/2/2016,99,5.8,1656,... Has Fallen Collection
Silver Linings Playbook,Drama,14.488111,21,206,185,9/8/2012,122,7,4840,
Paranormal Activity 3,Horror,10.996308,5,206,201,10/19/2011,83,5.9,685,Paranormal Activity Collection
The Jungle Book,Family,22.845448,4,206,202,10/17/1967,78,7.1,1791,The Jungle Book Collection
White House Down,Action,9.920223,150,205,55,6/27/2013,131,6.3,1910,
Eat Pray Love,Drama,15.904834,60,205,145,8/12/2010,133,5.8,655,
The Break-Up,Romance,6.327193,52,205,153,6/1/2006,106,5.6,851,
JFK,Drama,13.813146,40,205,165,12/20/1991,189,7.5,513,
The Ugly Truth,Comedy,8.450799,38,205,167,7/24/2009,96,6.4,1005,
King Arthur,Adventure,8.862107,120,204,84,7/7/2004,126,6.1,827,
Vanilla Sky,Drama,10.071057,68,203,135,12/10/2001,136,6.5,1100,
Need for Speed,Action,18.271383,66,203,137,3/13/2014,130,6.1,1560,
Everest,Adventure,10.758754,55,203,148,9/10/2015,121,6.7,1805,
Arrival,Thriller,30.83786,47,203,156,11/10/2016,113,7.2,5729,
Fun with Dick and Jane,Comedy,13.473381,100,202,102,12/21/2005,90,5.9,639,
You Don't Mess with the Zohan,Comedy,13.116461,90,202,112,6/5/2008,113,5.5,1068,
Yogi Bear,Comedy,6.598296,80,202,122,12/11/2010,80,5.2,228,
Battle: Los Angeles,Action,6.753746,70,202,132,3/8/2011,116,5.5,1462,
Patch Adams,Comedy,12.52181,50,202,152,12/25/1998,115,7,863,
21 Jump Street,Action,11.250764,42,202,160,3/12/2012,109,6.7,4151,Jump Street Collection
Straight Outta Compton,Drama,21.183077,28,202,174,8/13/2015,147,7.7,1381,
Kindergarten Cop,Comedy,3.67003,15,202,187,12/21/1990,111,5.8,643,Kindergarten Cop Collection
Teenage Mutant Ninja Turtles,Science Fiction,13.184585,14,202,188,3/30/1990,93,6.5,486,Teenage Mutant Ninja Turtles (Original) Collection
Garfield,Animation,10.003679,50,201,151,6/10/2004,80,5.2,851,Garfield Collection
Valkyrie,Drama,8.635464,75,200,125,12/25/2008,121,6.7,1195,
Rocky II,Drama,11.789813,7,200,193,6/15/1979,119,6.9,948,Rocky Collection
Total Recall,Action,16.42635,125,199,74,8/2/2012,121,5.8,2540,
City of Angels,Drama,8.228219,55,199,144,4/10/1998,114,6.5,537,
The Hunt for Red October,Action,15.91126,30,199,169,3/2/1990,134,7.2,971,The Jack Ryan Collection
Jack the Giant Slayer,Action,11.606061,195,198,3,2/27/2013,114,5.5,2634,
Open Season,Adventure,11.744242,85,197,112,9/29/2006,83,6.1,676,Open Season Collection
Smurfs: The Lost Village,Adventure,16.972835,60,197,137,3/23/2017,89,6.2,311,The Smurfs (Theatrical) Collection
Stargate,Action,13.328924,55,197,142,10/27/1994,121,6.8,942,
The Other Woman,Comedy,9.389354,40,197,157,4/16/2014,109,6.2,1467,
Spy Kids 3-D: Game Over,Action,8.025145,38,197,159,7/25/2003,84,4.7,525,Spy Kids Collection
Anger Management,Comedy,9.409379,75,196,121,4/11/2003,106,5.9,937,
50 First Dates,Comedy,11.134888,75,196,121,2/13/2004,99,6.6,2161,
Beowulf,Adventure,9.951195,70,196,126,11/5/2007,115,5.5,855,
Panic Room,Crime,14.969502,48,196,148,3/29/2002,111,6.6,1303,
The Vow,Drama,9.524298,30,196,166,2/5/2012,104,7,1328,
The Pelican Brief,Drama,8.708306,45,195,150,12/16/1993,141,6.3,377,
The Intern,Comedy,15.651705,35,195,160,9/24/2015,121,7.1,1926,
For Your Eyes Only,Adventure,9.765123,28,195,167,6/23/1981,127,6.3,497,James Bond Collection
A Dog's Purpose,Comedy,9.863789,22,195,173,1/19/2017,100,6.6,657,
Gangs of New York,Drama,14.922399,100,194,94,12/14/2002,167,7.1,1964,
The Holiday,Comedy,14.043416,85,194,109,12/8/2006,136,6.7,1259,
The Sum of All Fears,Thriller,9.268136,68,193,125,5/31/2002,124,5.9,447,The Jack Ryan Collection
The Equalizer,Thriller,17.618057,55,192,137,9/24/2014,132,7.1,2997,
The Addams Family,Horror,12.962525,30,192,162,11/22/1991,99,6.7,871,Addams Family Collection
The Curse of the Were-Rabbit,Adventure,11.766244,30,192,162,9/4/2005,85,6.8,660,Wallace & Gromit Collection
The Living Daylights,Action,12.189038,40,191,151,6/29/1987,130,6.2,447,James Bond Collection
Hollow Man,Action,7.912103,95,190,95,8/4/2000,112,5.6,645,Hollow Man Collection
The Longest Yard,Comedy,7.349843,82,190,108,5/19/2005,113,6.2,804,
Superman II,Action,10.301621,54,190,136,12/4/1980,127,6.5,642,Superman Collection
Outbreak,Action,13.676444,50,190,140,3/10/1995,127,6.4,522,
Cheaper by the Dozen,Comedy,7.364297,40,190,150,12/24/2003,98,6,725,Cheaper by the Dozen Collection
Gnomeo & Juliet,Animation,9.244469,36,190,154,1/13/2011,84,5.8,547,
The Santa Clause,Fantasy,9.665424,22,190,168,11/10/1994,97,6.3,501,The Santa Clause Collection
The X Files,Mystery,12.311615,66,189,123,6/19/1998,121,6.6,494,The X-Files Collection
Rambo III,Action,11.624866,63,189,126,5/24/1988,102,5.7,703,Rambo Collection
Tropic Thunder,Action,8.980941,92,188,96,8/9/2008,107,6.5,1707,
The Secret Life of Walter Mitty,Adventure,8.684892,90,188,98,12/18/2013,114,7,3213,
22 Jump Street,Crime,10.901496,50,188,138,6/5/2014,112,7,3375,Jump Street Collection
Octopussy,Adventure,10.619302,28,188,160,6/5/1983,131,6.2,534,James Bond Collection
Jaws 2,Horror,11.21306,20,188,168,6/16/1978,116,5.9,412,The Jaws Collection
Heat,Action,17.924927,60,187,127,12/15/1995,170,7.7,1886,
The Horse Whisperer,Drama,7.685548,60,187,127,5/14/1998,170,6.7,296,
Mr. Popper's Penguins,Comedy,15.214342,55,187,132,6/17/2011,94,5.7,775,
Ponyo,Animation,8.470945,42,187,145,7/19/2008,100,7.5,953,
12 Years a Slave,Drama,30.316249,20,187,167,10/18/2013,134,7.9,3787,
Hugo,Adventure,14.046164,170,186,16,11/22/2011,126,7,2197,
Atlantis: The Lost Empire,Animation,10.901602,120,186,66,6/2/2001,95,6.7,1257,Atlantis Collection
I Now Pronounce You Chuck & Larry,Comedy,6.645799,85,186,101,7/12/2007,115,5.8,640,
The Final Destination,Horror,8.805723,40,186,146,8/26/2009,82,5.4,851,Final Destination Collection
Walk the Line,Drama,11.476443,28,186,158,9/13/2005,136,7.3,732,
The Waterboy,Comedy,9.461823,23,186,163,11/6/1998,90,5.9,521,
Watchmen,Action,16.551503,130,185,55,3/5/2009,163,7,2892,
The Birdcage,Comedy,6.49968,31,185,154,3/8/1996,117,6.7,303,
The Spy Who Loved Me,Adventure,9.781451,14,185,171,7/7/1977,125,6.6,515,James Bond Collection
Wind River,Action,40.796775,11,185,174,8/3/2017,111,7.4,181,
Snow White and the Seven Dwarfs,Fantasy,16.263878,1,185,184,12/20/1937,83,6.9,1973,
Jupiter Ascending,Science Fiction,21.463465,176,184,8,2/4/2015,124,5.2,2816,
102 Dalmatians,Comedy,7.668752,85,184,99,10/7/2000,100,5.1,327,101 Dalmatians (Live-Action) Collection
Hop,Animation,8.904488,63,184,121,3/30/2011,95,5.5,338,
Inside Man,Crime,13.393548,45,184,139,3/23/2006,129,7.3,1671,
Bad Moms,Comedy,9.362056,20,184,164,7/28/2016,100,6.3,1287,
The BFG,Adventure,18.769476,140,183,43,6/1/2016,120,6,1026,
Mirror Mirror,Adventure,14.170183,85,183,98,3/15/2012,106,5.5,1148,
Paul Blart: Mall Cop,Action,13.003122,26,183,157,1/15/2009,91,5.2,807,Mall Cop Collection
Aliens,Horror,21.761179,19,183,164,7/18/1986,137,7.7,3282,Alien Collection
The Grudge,Horror,9.740827,10,183,173,10/22/2004,92,5.8,889,The Grudge Collection
Poseidon,Adventure,6.581669,160,182,22,5/12/2006,99,5.5,594,
The Haunted Mansion,Thriller,11.605735,90,182,92,11/25/2003,87,5.1,481,
Storks,Adventure,12.687521,70,182,112,9/22/2016,87,6.7,706,
Cape Fear,Crime,10.302735,35,182,147,11/15/1991,128,7,692,
The Bridges of Madison County,Drama,5.951077,24,182,158,5/28/1995,135,7.3,397,
While You Were Sleeping,Comedy,15.783615,17,182,165,4/21/1995,103,6.5,340,
Grease,Romance,7.854899,6,182,176,7/7/1978,110,7.2,1633,Grease Collection
Road to Perdition,Thriller,13.426684,80,181,101,7/12/2002,117,7.3,1102,
DÃ©jÃ  Vu,Action,14.922904,75,181,106,11/22/2006,126,6.6,1519,
Kill Bill: Vol. 1,Action,25.261865,30,181,151,10/10/2003,111,7.7,5091,Kill Bill Collection
Sweet Home Alabama,Comedy,8.587129,30,181,151,9/26/2002,108,6.1,408,
Hot Shots!,Action,11.026793,26,181,155,7/31/1991,84,6.4,588,Hot Shots! Collection
The Impossible,Thriller,10.027434,42,180,138,9/9/2012,113,7,2071,
Allegiant,Adventure,18.386172,110,179,69,3/9/2016,121,5.9,2064,Divergent Collection
The League of Extraordinary Gentlemen,Fantasy,10.488765,78,179,101,7/11/2003,110,5.7,1181,
Daredevil,Fantasy,11.415558,78,179,101,2/14/2003,103,5,1551,
The Dictator,Comedy,7.446085,65,179,114,5/15/2012,83,5.9,1789,
Moulin Rouge!,Drama,13.691781,53,179,126,3/9/2001,127,7.4,1348,
City Slickers,Action,7.334686,27,179,152,6/7/1991,112,6.2,232,City Slickers Collection
Dante's Peak,Action,7.240753,116,178,62,2/7/1997,108,5.8,445,
Eagle Eye,Mystery,14.324875,80,178,98,9/25/2008,118,6.3,1038,
Flubber,Comedy,7.016942,80,178,98,11/26/1997,93,5.3,707,
Double Jeopardy,Crime,10.876463,70,178,108,9/24/1999,105,6.2,282,
Baywatch,Action,35.637691,69,178,109,5/12/2017,116,6.1,1829,
War Horse,Drama,8.166363,66,178,112,12/25/2011,146,7,1016,
Patriot Games,Drama,11.075674,45,178,133,6/4/1992,117,6.4,440,The Jack Ryan Collection
Scary Movie 4,Comedy,13.096692,45,178,133,4/13/2006,83,5.3,779,Scary Movie Collection
Brokeback Mountain,Drama,11.787044,14,178,164,9/2/2005,134,7.5,1531,
Paranormal Activity 2,Horror,7.388933,3,178,175,10/20/2010,91,5.7,734,Paranormal Activity Collection
The A-Team,Thriller,16.747793,110,177,67,6/10/2010,117,6.2,1737,
Analyze This,Comedy,7.634017,80,177,97,3/5/1999,103,6.4,512,Analyze Collection
How to Lose a Guy in 10 Days,Comedy,5.188107,50,177,127,2/7/2003,116,6.3,873,
He's Just Not That Into You,Comedy,8.376094,40,177,137,2/6/2009,129,6.2,988,
In the Line of Fire,Action,12.637158,40,177,137,7/8/1993,128,6.8,392,
Hero,Drama,9.861765,31,177,146,12/19/2002,99,7.3,647,
Tootsie,Comedy,8.451188,21,177,156,12/16/1982,116,6.9,429,
The Descendants,Comedy,11.794753,20,177,157,9/9/2011,115,6.7,956,
Dr. Dolittle 2,Comedy,7.906683,70,176,106,6/22/2001,87,4.9,422,Dr. Dolittle Collection
The Italian Job,Action,13.995044,60,176,116,5/30/2003,110,6.6,1949,
Cowboys & Aliens,Action,10.958669,163,175,12,7/29/2011,119,5.4,2054,
Percy Jackson: Sea of Monsters,Adventure,10.338222,90,175,85,8/7/2013,106,5.9,1685,Percy Jackson Collection
The Bucket List,Drama,9.070643,45,175,130,12/25/2007,97,7,1138,
Hacksaw Ridge,Drama,21.037699,40,175,135,10/7/2016,140,7.8,3294,
The Grand Budapest Hotel,Comedy,14.442048,30,175,145,2/26/2014,99,8,4644,
Sleeping with the Enemy,Drama,8.560694,19,175,156,2/8/1991,99,6.1,228,
Anchorman 2: The Legend Continues,Comedy,7.600751,50,174,124,12/18/2013,119,6,940,Anchorman Collection
In Time,Action,10.324613,40,174,134,10/27/2011,109,6.7,3512,
Creed,Drama,33.449723,37,174,137,11/25/2015,133,7.3,1963,Rocky Collection
Identity Thief,Comedy,7.321172,35,174,139,2/7/2013,111,5.6,1667,
Big Momma's House,Crime,7.978985,30,174,144,5/31/2000,98,5.6,514,"name': ""Big Momma's House Collection"", "
AmÃ©lie,Comedy,12.879381,10,174,164,4/25/2001,122,7.8,3403,
Evan Almighty,Fantasy,9.156877,175,173,-2,6/9/2007,96,5.3,1194,Almighty Collection
Black Hawk Down,Action,10.064446,92,173,81,12/28/2001,144,7.2,1832,
Cold Mountain,Drama,9.645543,79,173,94,12/24/2003,154,6.7,545,
The Santa Clause 2,Fantasy,5.205729,65,173,108,10/31/2002,104,5.5,303,The Santa Clause Collection
The Girl on the Train,Crime,10.217291,45,173,128,10/5/2016,112,6.2,1837,
Elf,Comedy,8.754132,32,173,141,10/9/2003,97,6.4,1007,
Scream,Crime,13.326443,14,173,159,12/20/1996,111,7,1520,Scream Collection
Couples Retreat,Comedy,15.152577,70,172,102,9/19/2009,113,5.3,601,
Antz,Adventure,16.025625,60,172,112,10/2/1998,83,6,1320,
Along Came Polly,Comedy,15.725542,42,172,130,1/16/2004,90,5.8,795,
John Wick: Chapter 2,Thriller,49.247505,40,172,132,2/8/2017,122,6.7,2924,John Wick Collection
No Country for Old Men,Crime,15.565484,25,172,147,11/8/2007,122,7.7,3083,
Scream 2,Horror,11.264845,24,172,148,12/9/1997,120,6.1,856,Scream Collection
Cocktail,Drama,9.270831,20,172,152,7/29/1988,104,5.7,330,
Blood Diamond,Drama,12.477872,100,171,71,12/7/2006,143,7.4,2344,
Contact,Drama,14.374866,90,171,81,7/11/1997,150,7.2,1338,
AVP: Alien vs. Predator,Adventure,12.636205,70,171,101,8/12/2004,101,5.6,1241,AVP Collection
Mr. Deeds,Comedy,6.674356,50,171,121,6/28/2002,96,5.6,660,
Cloverfield,Action,12.868098,25,171,146,1/15/2008,85,6.4,2297,
Stuart Little 2,Family,9.274909,120,170,50,7/19/2002,78,5.4,632,Stuart Little Collection
Ghost in the Shell,Action,68.726676,110,170,60,3/29/2017,107,5.9,2547,
The Other Guys,Action,12.536621,100,170,70,8/6/2010,107,6.1,1406,
Zookeeper,Comedy,11.341084,80,170,90,7/6/2011,102,5.3,509,
Starsky & Hutch,Comedy,10.776138,60,170,110,3/5/2004,101,5.6,661,
Shall We Dance?,Drama,9.082538,50,170,120,10/15/2004,107,5.9,308,
The Specialist,Action,10.388183,45,170,125,10/7/1994,110,5.5,317,
Dumb and Dumber To,Comedy,15.402597,40,170,130,11/12/2014,110,5.4,1140,Dumb and Dumber Collection
What Happens in Vegas,Comedy,10.054226,35,170,135,5/7/2008,99,5.8,949,
Meet the Robinsons,Animation,10.529576,150,169,19,3/23/2007,95,6.7,787,
The Emperor's New Groove,Adventure,12.297375,100,169,69,12/9/2000,78,7.2,1544,"name': ""The Emperor's New Groove Collection"", "
Twelve Monkeys,Science Fiction,12.297305,30,169,139,12/29/1995,129,7.4,2470,
Fantastic Four,Action,17.246484,120,168,48,8/5/2015,100,4.4,2322,
Unstoppable,Action,12.697059,100,168,68,11/4/2010,98,6.3,1193,
Seven Pounds,Drama,21.708267,55,168,113,12/18/2008,123,7.5,2092,
DodgeBall: A True Underdog Story,Comedy,11.967379,20,168,148,6/18/2004,92,6.2,1009,
Alexander,War,13.498641,155,167,12,11/21/2004,175,5.6,957,
Magic Mike,Drama,8.732425,7,167,160,6/28/2012,110,6.1,1062,Magic Mike Collection
Sleepers,Crime,9.198283,44,166,122,10/18/1996,147,7.3,729,
Speed 2: Cruise Control,Action,11.268531,160,165,5,6/13/1997,121,4.1,439,Speed Collection
The Huntsman: Winter's War,Action,17.260203,115,165,50,4/6/2016,114,6,1575,The Huntsman Collection
The Scorpion King,Action,9.488117,60,165,105,4/16/2002,92,5.3,802,The Scorpion King Collection
The Muppets,Comedy,10.214369,45,165,120,11/22/2011,103,6.5,509,The Muppet Collection
Bridge of Spies,Thriller,13.707888,40,165,125,10/15/2015,141,7.2,2633,
The Princess Diaries,Comedy,7.387171,37,165,128,8/3/2001,115,6.5,1063,The Princess Diaries Collection
The Incredible Hulk,Science Fiction,19.125537,150,164,14,6/12/2008,114,6.1,3086,
Miami Vice,Action,11.72545,135,164,29,7/27/2006,134,5.7,494,
Four Christmases,Comedy,7.210383,80,164,84,11/26/2008,88,5.3,337,
Six Days Seven Nights,Action,18.324219,70,164,94,6/12/1998,98,5.6,343,
Daddy Day Care,Comedy,6.504927,60,164,104,5/3/2003,92,5.6,526,Daddy Day Camp Collection
Burn After Reading,Comedy,13.206799,37,164,127,9/5/2008,96,6.5,1251,
PokÃ©mon: The First Movie: Mewtwo Strikes Back,Animation,7.556826,30,164,134,7/18/1998,75,6.7,336,PokÃ©mon Collection
Up in the Air,Drama,8.338562,25,164,139,9/5/2009,109,6.7,1246,
Saw III,Horror,14.938035,10,164,154,10/27/2006,108,6.1,1104,Saw Collection
The Island,Action,11.443647,126,163,37,7/20/2005,136,6.5,1813,
The Spiderwick Chronicles,Adventure,11.133784,90,163,73,2/14/2008,95,6.3,593,
The Interpreter,Crime,12.047671,80,163,83,4/8/2005,128,6.2,400,
Talladega Nights: The Ballad of Ricky Bobby,Comedy,6.936688,73,163,90,8/4/2006,116,6.2,497,
Unbroken,Drama,10.543955,65,163,98,12/25/2014,137,7.3,1437,
World Trade Center,Drama,13.332102,63,163,100,8/9/2006,128,5.9,461,
The Happening,Thriller,6.22229,60,163,103,6/11/2008,91,4.9,968,
The Magnificent Seven,Adventure,13.809622,90,162,72,9/14/2016,132,5.9,2358,
Payback,Drama,9.112008,90,162,72,2/5/1999,100,6.7,557,
Memoirs of a Geisha,Drama,7.680762,85,162,77,12/6/2005,145,7.3,670,
Alien: Resurrection,Science Fiction,15.57784,70,162,92,11/12/1997,109,5.9,1388,Alien Collection
Eyes Wide Shut,Mystery,13.268484,65,162,97,7/14/1999,159,7.1,1266,
Jack Reacher: Never Go Back,Action,15.60562,60,162,102,10/19/2016,118,5.3,1843,Jack Reacher Collection
Scream 3,Horror,9.738371,40,162,122,2/3/2000,116,5.7,749,Scream Collection
Flight,Drama,10.973822,31,162,131,11/2/2012,138,6.5,2449,
Limitless,Thriller,12.114955,27,162,135,3/8/2011,105,7.1,3888,
Live and Let Die,Adventure,9.773768,7,162,155,7/5/1973,121,6.4,540,James Bond Collection
Olympus Has Fallen,Action,10.978188,70,161,91,3/20/2013,120,6.2,3010,... Has Fallen Collection
The Ring Two,Drama,16.15818,50,161,111,3/17/2005,110,5.5,646,The Ring Collection
Into the Storm,Action,9.092925,50,161,111,8/6/2014,89,5.8,829,
Johnny English,Adventure,8.739991,40,161,121,4/6/2003,88,6,875,Johnny English Collection
Legends of the Fall,Adventure,12.199047,30,161,131,12/16/1994,133,7.2,636,
Born on the Fourth of July,Drama,13.617646,14,161,147,12/20/1989,145,6.7,403,
Love's Deadly Triangle: The Texas Cadet Murder,Drama,1.36737,14,161,147,2/20/1997,93,5,2,
A Star Is Born,Drama,2.447359,6,161,155,12/16/1976,139,5.7,22,
Hellboy II: The Golden Army,Adventure,11.928661,85,160,75,7/11/2008,120,6.5,1555,Hellboy Collection
Underworld: Awakening,Fantasy,12.345348,70,160,90,1/19/2012,88,6.1,1885,Underworld Collection
AlienÂ³,Science Fiction,17.126768,50,160,110,5/22/1992,114,6.2,1664,Alien Collection
Johnny English Reborn,Crime,10.668658,45,160,115,9/15/2011,101,6,1026,Johnny English Collection
Never Say Never Again,Adventure,10.231985,36,160,124,10/7/1983,134,5.8,348,James Bond Collection
27 Dresses,Comedy,10.342202,30,160,130,1/10/2008,111,6.1,1013,
The Sting,Comedy,12.016821,6,160,154,12/25/1973,129,7.9,639,The Sting Collection
Daylight,Action,11.995799,80,159,79,12/6/1996,115,5.8,385,
The Jackal,Action,11.131917,60,159,99,11/14/1997,124,6.1,536,
Demolition Man,Crime,11.626116,57,159,102,10/8/1993,115,6.4,1018,
The Heat,Action,12.706403,43,159,116,6/27/2013,117,6.5,1595,
Sin City,Action,15.010525,40,159,119,4/1/2005,124,7.2,2755,Sin City Collection
Step Up 3D,Drama,9.111782,30,159,129,8/4/2010,107,6.6,595,Step Up Collection
Princess Mononoke,Adventure,17.166725,27,159,132,7/12/1997,134,8.2,2041,
Unforgiven,Western,10.942149,14,159,145,8/7/1992,131,7.7,1133,
The Fast and the Furious: Tokyo Drift,Action,2.238808,85,158,73,6/3/2006,104,6.1,1749,The Fast and the Furious Collection
Days of Thunder,Adventure,7.046753,60,158,98,6/27/1990,107,5.9,359,
Goosebumps,Adventure,12.365292,58,158,100,8/5/2015,103,6.2,1022,
Final Destination 5,Horror,12.912491,47,158,111,8/12/2011,92,5.9,892,Final Destination Collection
Lara Croft Tomb Raider: The Cradle of Life,Action,13.076349,95,157,62,7/21/2003,117,5.5,1443,Tomb Raider Collection
The Book of Eli,Action,14.39853,80,157,77,1/14/2010,118,6.6,2207,
This Means War,Action,12.366641,65,157,92,2/14/2012,103,5.9,1411,
Crimson Tide,Action,8.657365,53,157,104,5/12/1995,116,7,508,
Ip Man 3,Action,8.970494,36,157,121,12/19/2015,105,6.5,384,Ip Man Collection
Under Siege,Action,9.918269,35,157,122,10/8/1992,103,6.1,405,Under Siege Collection
P.S. I Love You,Drama,10.304881,30,157,127,11/15/2007,126,7,1011,
Mystic River,Thriller,12.602438,25,157,132,10/7/2003,138,7.6,1473,
Don't Breathe,Crime,25.869883,10,157,147,8/25/2016,88,6.7,1830,
The Hateful Eight,Crime,20.328822,44,156,112,12/25/2015,167,7.6,4405,
Hannah Montana: The Movie,Comedy,6.332878,35,156,121,4/10/2009,102,6,465,
Licence to Kill,Adventure,11.137888,32,156,124,7/7/1989,133,5.9,549,James Bond Collection
Rocky Balboa,Drama,11.697604,24,156,132,12/20/2006,102,6.5,858,Rocky Collection
What Lies Beneath,Drama,9.500497,100,155,55,7/21/2000,130,6.3,504,
The Phantom of the Opera,Music,7.682562,70,155,85,12/8/2004,143,7,448,
Dreamgirls,Drama,7.739633,70,155,85,12/25/2006,134,6.6,292,
The Monuments Men,War,11.132411,70,155,85,1/24/2014,118,5.8,1545,
Maid in Manhattan,Comedy,7.291939,55,155,100,12/13/2002,105,5.6,493,
Blade II,Fantasy,17.05064,54,155,101,3/22/2002,117,6.3,1556,Blade Collection
Knowing,Action,9.806904,50,155,105,3/19/2009,121,5.9,1528,
The Accountant,Crime,13.465656,44,155,111,10/14/2016,128,6.9,2121,
Monster-in-Law,Romance,6.328385,43,155,112,5/13/2005,101,5.6,413,
Cool Runnings,Comedy,8.30721,14,155,141,9/30/1993,98,6.8,510,
Focus,Romance,10.035362,50,154,104,2/25/2015,105,6.7,2588,
Another 48 Hrs.,Thriller,6.938921,38,154,116,6/8/1990,95,5.8,205,48 Hrs. Collection
The Town,Crime,13.081203,37,154,117,9/15/2010,125,7,1516,
Ride Along,Action,9.895752,25,154,129,1/7/2014,99,6.1,867,Ride Along Collection
Free Willy,Family,5.990572,20,154,134,7/16/1993,112,6,429,Free Willy Collection
Tower Heist,Action,7.762917,75,153,78,11/2/2011,104,5.8,945,
The Devil's Advocate,Drama,10.920124,57,153,96,10/17/1997,144,7.2,1414,
Chocolat,Comedy,8.9256,25,153,128,12/14/2000,121,6.8,979,
Gremlins,Fantasy,11.333125,11,153,142,6/7/1984,106,6.9,1629,The Gremlins Collection
Saw II,Horror,15.399863,4,153,149,10/28/2005,92,6.3,1288,Saw Collection
Backdraft,Action,9.883727,75,152,77,5/24/1991,137,6.4,360,
Date Night,Comedy,8.443736,55,152,97,4/8/2010,97,5.9,1148,
Sweeney Todd: The Demon Barber of Fleet Street,Drama,10.038401,50,152,102,12/20/2007,116,7,1745,
Congo,Action,7.260574,50,152,102,6/9/1995,109,5,214,
A Time to Kill,Crime,13.309013,40,152,112,7/24/1996,149,7,522,
Phenomenon,Drama,5.575992,32,152,120,7/5/1996,123,6.2,328,
Kill Bill: Vol. 2,Action,21.533072,30,152,122,4/16/2004,136,7.7,4061,Kill Bill Collection
A View to a Kill,Adventure,12.840798,30,152,122,5/24/1985,131,6,515,James Bond Collection
Big,Fantasy,9.562292,18,152,134,6/3/1988,104,6.9,1022,
Bad Grandpa,Comedy,8.000867,15,152,137,10/22/2013,92,6,688,Jackass Collection
47 Ronin,Drama,14.88937,175,151,-24,12/6/2013,119,5.9,1357,
Gods of Egypt,Fantasy,13.337707,140,151,11,2/25/2016,127,5.2,1303,
The Bone Collector,Drama,8.884406,73,151,78,11/4/1999,118,6.5,843,
Planes: Fire & Rescue,Animation,7.579855,50,151,101,7/17/2014,83,5.8,286,Planes Collection
Vantage Point,Drama,7.001645,40,151,111,2/1/2008,90,6.3,731,
Midnight in Paris,Fantasy,11.43256,30,151,121,5/11/2011,94,7.4,2049,
